PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Jamnagar,GEN,Gujarat,Ahir Vikrambhai Arjanbhai Madam,Indian National Congress,1072175,433392,40.4,5593,1.3,2004
Jamshedpur,GEN,Jharkhand,Sunil Kumar Mahato,Jharkhand Mukti Morcha,1372125,776508,56.6,105633,13.6,2004
Jangipur,GEN,West Bengal,Pranab Mukherjee,Indian National Congress,1082151,881248,81.4,36860,4.2,2004
Janjgir,SC,Chhattisgarh,Karuna Shukla,Bharatiya Janta Party,1374418,717350,52.2,11329,1.6,2004
Jaunpur,GEN,Uttar Pradesh,Parasnath Yadava,Samajwadi Party,1515676,714077,47.1,27125,3.8,2004
Jhabua,GEN,Madhya Pradesh,Kantilal Bhuria,Indian National Congress,1290101,628135,48.7,80282,12.8,2004
Jhalawar,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1188576,567172,47.7,81579,14.4,2004
Jhanjharpur,GEN,Bihar,Devendra Prasad Yadav,Rashtriya Janata Dal,1163817,704243,60.5,12835,1.8,2004
Jhansi,GEN,Uttar Pradesh,Chandrapal Singh Yadav,Samajwadi Party,1526320,819636,53.7,26299,3.2,2004
Jhargram,ST,West Bengal,Rupchand Murmu,Communist Party Of India (Marxist),1029496,793099,77,351343,44.3,2004
Jhunjhunu,GEN,Rajasthan,Shish Ram Ola,Indian National Congress,1370602,679614,49.6,23355,3.4,2004
Jodhpur,GEN,Rajasthan,Jaswant Singh Bishnoi,Bharatiya Janta Party,1572050,863578,54.9,42495,4.9,2004
Jorhat,GEN,Assam,Bijoy Krishna Handique,Indian National Congress,1078149,667973,62,51292,7.7,2004
Joynagar,GEN,West Bengal,Sanat Kumar Mandal,Revolutionary Socialist Party,1136859,806749,71,230521,28.6,2004
Jullundur,SC,Punjab,Rana Gurjeet Singh,Indian National Congress,1221443,742475,60.8,33463,4.5,2004
Junagadh,GEN,Gujarat,Barad Jasubhai Dhanabhai,Indian National Congress,1239398,658280,53.1,40921,6.2,2004
Kaira,ST,Gujarat,Dinsha Patel,Indian National Congress,1146245,450808,39.3,56749,12.6,2004
Kairana,GEN,Uttar Pradesh,Anuradha Choudhary,Rashtriya Lok Dal,1220829,816700,66.9,342414,41.9,2004
Kaiserganj,GEN,Uttar Pradesh,Beni Prasad Verma,Samajwadi Party,1272807,569938,44.8,12660,2.2,2004
Kakinada,GEN,Andhra Pradesh,Mallipudi Mangapati Pallam Raju,Indian National Congress,1164984,832052,71.4,57252,6.9,2004
Kalahandi,GEN,Orissa,Bikram Keshari Deo,Bharatiya Janta Party,1132680,753897,66.6,34122,4.5,2004
Kaliabor,GEN,Assam,Dip Gogoi,Indian National Congress,1153483,763617,66.2,67198,8.8,2004
Kanakapura,GEN,Karnataka,Tejashwini See Ramesh,Indian National Congress,2695484,1551189,57.6,116663,7.5,2004
Kanara,SC,Karnataka,Ananthkumar Hegde,Bharatiya Janta Party,1207373,832123,68.9,172226,20.7,2004
Kangra,GEN,Himachal Pradesh,Chander Kumar,Indian National Congress,1033686,640345,62,17791,2.8,2004
Kanker,GEN,Chhattisgarh,Sohan Potai,Bharatiya Janta Party,1152128,553195,48,73626,13.3,2004
Kannauj,GEN,Uttar Pradesh,Akhilesh Yadav,Samajwadi Party,1346673,759336,56.4,307373,40.5,2004
Kanpur,GEN,Uttar Pradesh,Shriprakash Jaiswal,Indian National Congress,1427231,618698,43.4,5638,0.9,2004
Kapadvanj,GEN,Gujarat,Vaghela Shankersinh Laxmansinh,Indian National Congress,1265350,595296,47.1,79435,13.3,2004
Karad,GEN,Maharashtra,Patil Shriniwas Dadasaheb,Nationalist Congress Party,1181744,713822,60.4,196730,27.6,2004
Karimganj,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,979105,671065,68.5,91948,13.7,2004
Karimnagar,GEN,Andhra Pradesh,K. Chandra Shakher Rao,Telangana Rashtra Samithi,1344786,874367,65,131168,15,2004
